"","correctSpatial","responseSpatialPos","correctPosInStream","responsePosInStream","position0","position1","position2","position3","position4","position5","position6","position7","position8","position9","position10","position11","position12","position13","position14","position15","position16","position17","position18","position19","position20","position21","position22","position23"
"1045",1,23,17,16,18,17,6,13,24,21,20,15,5,14,2,7,11,10,19,23,1,22,4,9,8,12,3,16
"1046",12,8,9,5,10,3,4,21,8,7,2,13,12,15,5,1,14,24,11,23,16,9,17,18,19,20,6,22
"1047",14,14,14,14,12,18,23,4,17,16,7,19,6,5,15,8,21,14,9,10,20,11,2,1,3,22,13,24
"1048",24,3,9,14,8,19,18,9,12,13,17,7,24,5,21,4,22,3,14,16,15,10,2,23,6,11,1,20
"1049",11,23,16,4,6,3,13,23,18,15,9,1,16,10,7,21,17,19,24,11,12,20,5,2,8,4,22,14
"1050",22,22,12,12,5,18,17,24,23,14,4,20,10,19,1,22,12,11,15,8,9,7,6,21,16,2,3,13
"1051",11,11,11,11,15,3,19,14,2,20,17,18,4,22,11,6,1,21,9,7,8,10,24,12,13,23,16,5
"1052",2,18,14,13,13,22,17,20,21,19,24,11,1,12,4,16,18,2,5,8,14,3,10,9,7,15,6,23
"1053",18,18,15,15,10,17,14,9,4,1,2,5,3,7,13,15,21,8,18,12,23,6,22,16,24,19,11,20
"1054",7,7,13,13,11,13,24,18,21,20,5,16,23,3,4,8,7,14,1,2,22,15,12,10,9,6,19,17
"1055",3,15,10,11,12,14,16,13,17,1,24,10,4,3,15,20,11,8,7,23,22,5,6,2,18,9,21,19
"1056",5,18,17,13,20,15,9,2,1,16,13,12,17,4,11,8,18,7,6,22,5,19,23,24,3,14,21,10
"1057",2,1,17,23,11,6,19,24,22,20,17,14,5,4,15,23,12,16,7,13,2,9,3,21,10,18,1,8
"1058",18,17,15,23,2,15,4,16,14,24,21,7,6,8,5,22,9,12,18,23,10,11,20,3,13,19,17,1
"1059",10,10,13,13,17,15,3,23,4,11,22,16,12,9,7,18,10,13,1,21,8,2,19,20,14,6,24,5
"1060",14,13,11,13,16,15,1,2,11,3,17,10,22,8,14,24,13,9,6,4,19,18,21,23,20,12,5,7
"1061",13,5,16,18,22,14,12,8,19,9,15,10,18,17,3,6,1,20,7,13,2,5,16,24,21,4,11,23
"1062",2,3,12,5,11,20,21,9,3,15,6,18,1,14,16,2,7,24,4,22,10,17,19,13,23,8,12,5
"1063",7,21,10,9,17,14,5,22,3,18,12,9,21,7,6,13,8,15,1,10,11,19,20,16,4,23,2,24
"1064",8,9,14,2,13,9,12,15,24,5,19,3,14,18,2,7,10,8,23,20,1,4,6,21,22,16,11,17
"1065",11,9,9,10,22,12,7,3,24,5,1,15,11,9,23,2,18,21,4,8,6,16,13,10,20,14,19,17
"1066",4,11,17,3,5,20,11,7,14,23,21,16,8,15,17,1,10,24,3,6,4,12,2,13,19,18,22,9
"1067",23,22,16,13,13,20,24,9,18,1,14,6,19,8,11,17,22,4,10,23,5,2,21,12,16,7,3,15
"1068",24,5,9,17,22,2,7,8,4,21,15,9,24,18,20,12,19,11,17,6,5,13,3,16,23,1,10,14
"1069",7,4,13,10,12,9,18,8,13,15,23,6,16,4,20,2,7,1,5,11,22,10,24,19,21,3,14,17
"1070",20,9,14,21,10,17,14,6,22,12,15,1,4,11,23,2,8,20,21,7,24,13,5,19,9,3,18,16
"1071",8,6,12,20,14,4,1,15,16,5,12,21,17,10,9,8,22,20,7,2,24,11,19,6,3,13,18,23
"1072",7,11,10,8,13,16,17,19,6,18,22,11,1,7,2,10,21,9,23,14,15,8,5,24,12,20,4,3
"1073",11,7,11,12,2,8,13,6,17,10,24,5,18,9,11,7,12,14,19,1,20,3,15,16,22,4,21,23
"1074",20,8,15,10,9,16,12,11,22,10,21,6,1,8,2,13,24,17,20,7,5,23,4,14,18,3,15,19
"1075",19,11,12,15,13,23,3,12,22,15,17,16,18,7,14,19,9,21,11,6,2,1,8,24,10,5,20,4
"1076",3,17,15,16,23,22,21,19,14,15,2,12,11,6,18,9,5,10,3,17,4,24,13,7,8,1,20,16
"1077",18,17,17,14,16,6,19,22,23,11,20,7,12,9,8,3,4,17,15,1,18,14,10,21,13,24,5,2
"1078",20,21,11,19,23,12,22,9,15,24,11,5,18,1,20,17,10,16,13,7,2,8,21,19,6,4,14,3
"1079",5,17,13,12,20,4,18,13,3,24,1,8,16,9,10,17,5,23,2,12,7,11,22,19,14,21,15,6
"1080",14,10,16,5,18,8,6,12,10,11,4,23,15,24,3,20,1,13,19,14,9,22,21,5,7,2,17,16
"1081",24,24,14,14,10,9,13,23,12,5,16,4,1,20,7,3,22,24,14,15,8,11,21,6,2,19,17,18
"1082",10,4,9,1,4,16,9,13,19,14,24,5,10,3,8,21,6,2,20,11,23,12,17,1,22,18,7,15
"1083",14,14,10,10,3,5,17,19,12,2,21,6,7,14,23,9,8,1,18,15,24,20,11,4,16,10,13,22
